epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
151,964.438,0.66606,0.42481,0.90761,0.88402,0.83376,0.88968,0.49696,1.53617,0.82773,1.35996,0.000515,0.000515,0.000515
152,972.642,0.67035,0.43213,0.90684,0.87081,0.84258,0.87837,0.4714,1.55946,0.79662,1.38357,0.0005051,0.0005051,0.0005051
153,977.795,0.67961,0.44628,0.89315,0.89447,0.82812,0.8963,0.46322,1.59662,0.78197,1.3994,0.0004952,0.0004952,0.0004952
154,983.782,0.63782,0.42098,0.90816,0.86669,0.82812,0.89856,0.46775,1.6096,0.79357,1.40951,0.0004853,0.0004853,0.0004853
155,991.494,0.63123,0.42384,0.90108,0.83615,0.87711,0.90076,0.4794,1.58384,0.81525,1.39759,0.0004754,0.0004754,0.0004754
156,996.772,0.6916,0.42692,0.88822,0.88281,0.82397,0.89752,0.47822,1.59283,0.83003,1.42329,0.0004655,0.0004655,0.0004655
157,1003.21,0.64399,0.4229,0.9104,0.91304,0.82036,0.89638,0.47181,1.60781,0.82846,1.44397,0.0004556,0.0004556,0.0004556
158,1010.34,0.64888,0.415,0.89035,0.88379,0.85938,0.90054,0.46538,1.55223,0.80656,1.41133,0.0004457,0.0004457,0.0004457
159,1015.61,0.66665,0.44833,0.88952,0.87016,0.83781,0.88945,0.4662,1.54841,0.78836,1.42779,0.0004358,0.0004358,0.0004358
160,1022.25,0.67545,0.42543,0.90359,0.87898,0.82812,0.89304,0.46171,1.58547,0.83175,1.45933,0.0004259,0.0004259,0.0004259
161,1029.13,0.64239,0.42302,0.89103,0.86914,0.83027,0.88202,0.47789,1.5382,0.83778,1.43849,0.000416,0.000416,0.000416
162,1034.21,0.61914,0.39913,0.89776,0.88389,0.84375,0.86691,0.47017,1.54878,0.8362,1.45143,0.0004061,0.0004061,0.0004061
163,1041.15,0.5823,0.38884,0.88162,0.86124,0.8125,0.86275,0.47942,1.554,0.82445,1.43609,0.0003962,0.0003962,0.0003962
164,1048.16,0.60812,0.39798,0.87926,0.90939,0.8125,0.87982,0.46951,1.55094,0.84961,1.39382,0.0003863,0.0003863,0.0003863
165,1053.31,0.6141,0.40221,0.87938,0.87978,0.80043,0.87299,0.45891,1.56312,0.84643,1.39925,0.0003764,0.0003764,0.0003764
166,1059.66,0.62048,0.41611,0.89807,0.87499,0.85938,0.88933,0.45794,1.588,0.85027,1.40664,0.0003665,0.0003665,0.0003665
167,1067.43,0.63807,0.40704,0.87558,0.87292,0.85864,0.88411,0.47402,1.58921,0.82217,1.41707,0.0003566,0.0003566,0.0003566
168,1072.55,0.62258,0.39597,0.87221,0.86088,0.87023,0.88512,0.47531,1.60993,0.80754,1.42849,0.0003467,0.0003467,0.0003467
169,1078.69,0.60508,0.38382,0.87686,0.861,0.89062,0.89852,0.47495,1.60529,0.84158,1.42703,0.0003368,0.0003368,0.0003368
170,1086.24,0.62591,0.39921,0.87573,0.85026,0.89062,0.87783,0.49413,1.57163,0.88375,1.39542,0.0003269,0.0003269,0.0003269
171,1091.4,0.59717,0.39239,0.8689,0.87227,0.85366,0.88068,0.5085,1.55284,0.87438,1.38341,0.000317,0.000317,0.000317
172,1097.74,0.60977,0.41639,0.89835,0.87245,0.85503,0.88022,0.5071,1.54193,0.84914,1.38016,0.0003071,0.0003071,0.0003071
173,1104.59,0.57302,0.38885,0.87514,0.88687,0.85748,0.89699,0.50263,1.52293,0.81098,1.36357,0.0002972,0.0002972,0.0002972
174,1109.76,0.59719,0.37494,0.86747,0.86389,0.89256,0.8979,0.50025,1.53106,0.81756,1.3896,0.0002873,0.0002873,0.0002873
175,1116.53,0.59696,0.39217,0.87427,0.84796,0.87145,0.87908,0.48801,1.54574,0.86143,1.39104,0.0002774,0.0002774,0.0002774
176,1123.08,0.6541,0.50273,0.95106,0.88825,0.8694,0.90121,0.48896,1.55894,0.88691,1.39841,0.0002675,0.0002675,0.0002675
177,1128.35,0.58794,0.39772,0.88006,0.86333,0.89062,0.89786,0.46846,1.58829,0.89332,1.42457,0.0002576,0.0002576,0.0002576
178,1135.48,0.57591,0.38293,0.87904,0.93919,0.8125,0.89358,0.46527,1.59912,0.88556,1.42231,0.0002477,0.0002477,0.0002477
179,1142.08,0.55923,0.3869,0.87652,0.93747,0.8125,0.89904,0.48417,1.57844,0.86775,1.40861,0.0002378,0.0002378,0.0002378
180,1147.25,0.5463,0.36888,0.86877,0.9359,0.8125,0.89682,0.47505,1.56514,0.86913,1.39795,0.0002279,0.0002279,0.0002279
181,1154.42,0.59442,0.38822,0.8631,0.93807,0.8125,0.89662,0.47009,1.57952,0.8822,1.41114,0.000218,0.000218,0.000218
182,1160.59,0.576,0.39682,0.88289,0.93954,0.8125,0.89537,0.46921,1.5796,0.88813,1.4022,0.0002081,0.0002081,0.0002081
183,1165.75,0.55298,0.3825,0.86499,0.93493,0.8125,0.898,0.47513,1.57144,0.87687,1.39515,0.0001982,0.0001982,0.0001982
